app_ref,council_id,lat,lng,applicant1,applicant2,applicant3,received_date,decision_date,address1,address2,address3,address4,decision,status,details,url,tweet_id
0232/10,3,53.3378941,-6.2526495,,,,2010-10-01,2010-12-14,"143 A, Baggot Street Lower,  Dublin 2.",,,,C,9,EXPP : Section 5 for Staff entrance door to toilet at rear of premises,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0232/10,1
0259/10,3,53.3905556,-6.2672702,,,,2010-11-01,2010-11-22,"105, Willow Park Avenue, Dublin 11",,,,C,9,EXPP: Single storey extension across the rear of existing house.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0259/10,1
0260/10,3,53.3749667,-6.2217193,,,,2010-11-01,2010-11-25,"62, Oak Road, Donnycarney, Dublin 9",,,,R,9,EXPP-Extension to the rear of existing dwelling,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0260/10,1
0261/10,3,53.3117387,-6.2647001,,,,2010-11-01,2010-11-25,"9, Sunbury Park, Dartry, Dublin 6",,,,R,9,EXPP-Construction of boundary wall & extension to rear & shed to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0261/10,1
0262/10,3,53.3325595,-6.2665364,,,,2010-11-01,2010-11-04,"Rear, 39, Harrington Street, Dublin 8",,,,C,9,SHEC: (1unit) Proposed two storey 3 bedroom mews,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0262/10,1
0263/10,3,,,,,,2010-10-28,2010-12-01,"5, Frankfort Avenue, Rathgar, Dublin 6",,,,C,9,EXPP: Flue for gas boiler to exit front basement.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0263/10,1
0264/10,3,53.3932866,-6.3123638,,,,2010-11-02,2010-11-08,"30, Kildonan Road, Finglas, Dublin 11",,,,C,9,"SHEC - Construction of a two storey dwelling comprising living room, kitchen, WC",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0264/10,1
0265/10,3,53.3626924,-6.2385205,,,,2010-11-03,2010-11-29,"18, Fairview Strand, Dublin  3",,,,R,9,EXPP: Declaration sought re proposed works  ground floor Retail unit,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0265/10,1
0266/10,3,53.3767037,-6.1654855,,,,2010-11-04,2010-12-01,"15, Maywood Lawn, Raheny, Dublin 5",,,,C,9,SHEC: (1 unit) Construction of 1 no. two storey dwelling & new vehicular access.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0266/10,1
0267/10,3,53.3349221,-6.255843,,,,2010-11-05,2010-12-02,"14-17, Leeson Street Lower, Dublin 2",,,,R,9,EXPP - Change of use of the above building from Aparthotel to Apartments.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0267/10,1
0268/10,3,,,,,,2010-11-08,2010-12-01,"Garden @ Fitzwilliam Square, Dublin 2",,,,C,9,EXPP: Restoration of railings,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0268/10,1
0269/10,3,53.3693305,-6.2081198,,,,2010-11-09,2010-11-12,"133a,Castle Avenue, fronting Castle Grove ,Clontarf, Dublin 3",,,,C,9,SHEC: (1unit)A Single -Storey Two Bedroom House,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0269/10,1
0270/10,3,53.3607241,-6.2086827,,,,2010-11-10,2010-12-07,"Rear Of ''Lissadell'', 38B, Castle Avenue, Clontarf, Dublin 3",,,,C,9,"SHEC: Construction of new 2-storey, 5 bedroom, private a-frame house",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0270/10,1
0272/10,3,,,,,,2010-11-12,2010-12-07,"Former A&E Building @ Meath Hospital, Heytesbury Street, Long Lane, Dublin 8",,,,C,9,EXPP: Proposed internal renovation works of existing building to dental surgery.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0272/10,1
0273/10,3,53.3850538,-6.2347909,,,,2010-11-15,2010-11-22,"92, Shantalla Road, Beaumont, Dublin 9",,,,C,9,SHEC:(1unit) Construction of Two Storey Detached Dwelling to side of Existing,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0273/10,1
0274/10,3,53.3815048,-6.1611992,,,,2010-11-17,2010-12-07,"9, Foxfield Road, Raheny, Dublin 5",,,,C,9,EXPP:Construct an Extension of 7.5 sq to the rear of existing kitchen Annexe,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0274/10,1
0275/10,3,53.3612581,-6.1982616,,,,2010-11-18,2010-11-23,"Rear of 6 Belgrove Road, Clontarf, Dublin 3",,,,C,9,SHEC:(1unit) Permission to erect a Dormer style dwelling to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0275/10,1
0276/10,3,53.3184591,-6.2388576,,,,2010-11-17,2010-11-23,"18, Eglinton Road, Dublin  4",,,,C,9,SHEC: (1unit) 2 Storey over basement Dwelling House,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0276/10,1
0277/10,3,,,,,,2010-11-18,2010-11-23,"8 Gilford Court, Rear of 101, Sandymount Avenue, Dublin 4",,,,C,9,SHEC-Erection of two storey mews dwelling,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0277/10,1
0278/10,3,,,,,,2010-11-15,2010-12-09,"Regency Airport Hotel, Swords Road, Dublin, 9",,,,C,9,EXPP:  The conversion of an existing restaurant to retail shop.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0278/10,1
0279/10,3,53.3208317,-6.2574971,,,,2010-11-19,2010-11-23,"2B, Brendanvale, Dunville Avenue, Ranelagh, Dublin 6",,,,C,9,SHEC-Construct a two storey dwelling to western side of existing dwelling,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0279/10,1
0280/10,3,,,,,,2010-11-25,2010-12-01,"Side Of, 91B, Aulden Grange Dublin 17, & To Side Of, 48 Woodlawn Drive, Dublin 9",,,,C,9,SHEC - Detached 2-storey house with driveway entrance off Woodlawn Drive,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0280/10,1
0282/10,3,,,,,,2010-11-29,2010-12-21,"Trinity Hall Student Residences, Darty, Dublin 6",,,,R,9,PROTECTED STRUCTURE: Use of bedrooms as classrooms during summer months,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0282/10,1
0283/10,3,,,,,,2010-11-30,2010-12-16,"Unit 5, Burnell Green, Northern Cross, Malahide Road, Balgriffin, Dublin 17",,,,C,9,EXPP: To use existing unit as a yoga studio,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0283/10,1
0284/10,3,53.3441956,-6.264374,,,,2010-11-30,2010-12-20,"55, Dame Street, Dublin 2",,,,R,9,EXPP:Section 5 Application for Display Panal at Micromedia 55 Dame Street.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0284/10,1
1779/05/x1,3,53.380437,-6.234203,,,,2010-11-24,2011-01-27,"Collinswood, Beaumont, Dublin 9",,,,R,9,"residential development, with creche comprising of 175 no. units consisting of",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=1779/05/x1,1
1780/05/x1,3,,,,,,2010-11-04,2011-01-06,"73-75, St. Martin's Row, Chapelizod, Dublin 20",,,,C,9,EXTENSION OF DURATION-Demolish dwellings & outhouses & construct 20 houses,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=1780/05/x1,1
2657/10,3,,,,,,2010-04-22,2010-12-02,"Leinster Branch, IRFU Rugby Grounds, Donnybrook Road, Donnybrook, Dublin 4",,,,C,9,RETENTION: Temporary retention permisssion for a period of 3 years,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2657/10,1
2702/10,3,53.3480908,-6.2621208,,,,2010-04-29,2010-12-17,"55-56, Middle Abbey Street, Dublin 1",,,,C,9,Additon of a new storey at fourth floor level which results in the total,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2702/10,1
2767/10,3,53.3199509,-6.3237852,,,,2010-05-11,2010-11-30,"26, Balfe Avenue, Walkinstown, Dublin 12",,,,C,9,Attached 2-storey dwelling to side of exsting house,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2767/10,1
2778/10,3,53.3354345,-6.2656383,,,,2010-05-12,2010-12-20,"41, Pleasants Street, Dublin 8",,,,C,9,Renovation and extension of existing derelict 3 storey building,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2778/10,1
2780/10,3,53.3595342,-6.2821496,,,,2010-05-12,2010-12-02,"15, Charleville Road, Phibsborough, Dublin 7",,,,C,9,"Widen existing vehicular access, provide gravel finish & minor landscape works",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2780/10,1
2785/10,3,,,,,,2010-05-12,2010-12-16,"Butterly Business Park, Maxol Petrol Station & Artane Tyre Company, Kilmore Road, Artane, Dublin 5",,,,C,9,"Mixed use development comprising of c. 23,705sqm of non residential floor space",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2785/10,1
2901/10,3,,,,,,2010-05-31,2010-11-29,"Block B, Ground Floor, Corn Mill, Distillery Road, Dublin 3",,,,C,9,PROTECTED STRUCTURE-Change of use from enterprise unit to creche accommodation,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2901/10,1
2938/10,3,53.3458633,-6.2578799,,,,2010-06-04,2010-12-14,"7-9 College Street and 28-31, Fleet Street, Dublin 2",,,,C,9,PROTECTED STRUCTURES - Licensed Premises to use as a Hostel / Bed & Breakfast,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2938/10,1
2954/10,3,53.3934548,-6.2342886,,,,2010-06-08,2010-12-13,"73, Lorcan Crescent, Dublin 9",,,,C,9,existing garage and part of existing dwelling to use as a self contained family,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2954/10,1
3046/10,3,,,,,,2010-06-23,2010-12-07,"The RTE Campus, N11 Stillorgan Road and Nutley Lane, Donnybrook, Dublin 4",,,,C,9,RETENTION - retention for a period of 10 years of external film sets,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3046/10,1
3074/10,3,,,,,,2010-06-25,2010-12-03,"1, 1A & 1B (and rear site behind), Sybil Hill Road, Raheny, Dublin 5",,,,C,9,Demolish existing dwellings & construct 98  no. dwellings,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3074/10,1
3124/08/x1,3,53.3333866,-6.2474014,,,,2010-11-23,2011-01-26,"43-49, Mespil Road, Dublin 4, also including part of nos. 40-42 Mespil Road and no. 1 Burlington Road, Dublin 4.",,,,R,9,amendments to the previously permitted development (reg ref 3518/05,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3124/08/x1,1
3137/10,3,,,,,,2010-07-05,2010-12-03,"Presentation Convent, Warrenmount, Blackpitts, Dublin 8",,,,C,9,PROTECTED STRUCTURE-Demolish entrance bungalow with associated landscaping works,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3137/10,1
3240/10,3,53.3541865,-6.2693227,,,,2010-07-20,2010-11-29,"27, Mountjoy Street, Dublin 7",,,,C,9,RETENTION: Completion of small extension to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3240/10,1
3261/10,3,,,,,,2010-07-23,2010-11-30,"Within The Grounds Of Ossary Road, Industrial Estate Ossary Road, North Strand, Dublin 3",,,,C,9,RETENTION: For a different headframe & fixed rung ladder on a 15m,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3261/10,1
3303/10,3,,,,,,2010-07-30,2010-11-26,"St. Catherine's & St. James Church, Donore Avenue, Dublin 8",,,,C,9,PROTECTED STRUCTURE: Installation of 3 no. panel antenna,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3303/10,1
3316/10,3,53.3487243,-6.2671708,,,,2010-07-30,2010-12-14,"50-52, Mary Street, Dublin 1",,,,C,9,PROTECTED STRUCTURE: Change of use from retail to restaurant,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3316/10,1
